BusID,Type,V_init,Angle_init,G_shunt_pu,B_shunt_pu,V_final_pu,Angle_final_deg,Pg_final_MW,Pd_final_MW,Qg_final_MVAR,Qd_final_MVAR,time,time_step,datetime
1,1,1.06,0,0,0.0,1.06,0.0,160.61663967436,0.0,-0.34973217880525453,0.0,00:00,0,1900-01-01 00:00:00
2,2,1.043,0,0,0.0,1.043,-3.2882280135076147,40.0,15.361259989179999,22.386516476167124,8.990230500580003,00:00,0,1900-01-01 00:00:00
3,3,1.0,0,0,0.0,1.0277784971961275,-4.970568761255124,0.0,1.69894119696,4.2153603763139813e-07,0.84947059848,00:00,0,1900-01-01 00:00:00
4,3,1.0,0,0,0.0,1.019486529993273,-6.104197565901199,0.0,5.379980457039999,8.829128745890813e-07,1.13262746464,00:00,0,1900-01-01 00:00:00
5,2,1.01,0,0,0.0,1.01,-9.343274069867007,0.0,66.68344198068,15.412544237756103,13.449951142599996,00:00,0,1900-01-01 00:00:00
6,3,1.0,0,0,0.0,1.0160598185017418,-7.2899947979915405,0.0,0.0,6.292041970773309e-07,0.0,00:00,0,1900-01-01 00:00:00
7,3,1.0,0,0,0.0,1.0084558009700721,-8.510647510647221,0.0,16.13994137112,5.126072899486189e-09,7.716024602860001,00:00,0,1900-01-01 00:00:00
8,2,1.01,0,0,0.0,1.01,-7.718818340270237,0.0,21.236764962,8.455350557340964,21.236764962000002,00:00,0,1900-01-01 00:00:00
9,3,1.0,0,0,0.0,1.0604730355034955,-9.42999182621079,0.0,0.0,1.8485705201765053e-06,0.0,00:00,0,1900-01-01 00:00:00
10,3,1.0,0,0,0.19,1.061070504150169,-10.537902722325338,0.0,4.1057745593199995,8.562249114163478e-07,1.4157843308000015,00:00,0,1900-01-01 00:00:00
11,2,1.082,0,0,0.0,1.082,-9.42999182621079,0.0,0.0,11.198161339047099,0.0,00:00,0,1900-01-01 00:00:00
12,3,1.0,0,0,0.0,1.0672095129700143,-9.998354203165457,0.0,7.928392252479999,2.491311994923251e-06,5.3091912405000015,00:00,0,1900-01-01 00:00:00
13,2,1.071,0,0,0.0,1.071,-9.99835420316546,0.0,0.0,2.89972257793897,0.0,00:00,0,1900-01-01 00:00:00
14,3,1.0,0,0,0.0,1.0572351951163415,-10.616234238589422,0.0,4.38893142548,3.0056763300478906e-07,1.132627464640002,00:00,0,1900-01-01 00:00:00
15,3,1.0,0,0,0.0,1.0543611949461358,-10.688156708966723,0.0,5.804715756279999,5.133165905668591e-07,1.7697304134999994,00:00,0,1900-01-01 00:00:00
16,3,1.0,0,0,0.0,1.0592901928641132,-10.413247360395909,0.0,2.4776225789,1.4665414971304358e-07,1.2742058977200001,00:00,0,1900-01-01 00:00:00
17,3,1.0,0,0,0.0,1.0570408803158973,-10.645636964536783,0.0,6.3710294886,1.947109167232952e-07,4.10577455932,00:00,0,1900-01-01 00:00:00
18,3,1.0,0,0,0.0,1.0483141288667808,-11.110218327463874,0.0,2.26525492928,1.1628053764312085e-07,0.6371029488600001,00:00,0,1900-01-01 00:00:00
19,3,1.0,0,0,0.0,1.0469057433427325,-11.229819482917915,0.0,6.7249755713,2.4346107707629017e-07,2.40683336236,00:00,0,1900-01-01 00:00:00
20,3,1.0,0,0,0.0,1.0499092731225466,-11.096911733270526,0.0,1.55736276388,2.1154079066221243e-07,0.49552451577999956,00:00,0,1900-01-01 00:00:00
21,3,1.0,0,0,0.0,1.0524942371131565,-10.846004081575087,0.0,12.3881128945,4.3136480254446496e-07,7.928392252480002,00:00,0,1900-01-01 00:00:00
22,3,1.0,0,0,0.0,1.0528724211928435,-10.837985296547423,0.0,0.0,7.104619526866806e-08,0.0,00:00,0,1900-01-01 00:00:00
23,3,1.0,0,0,0.0,1.0477824750541938,-10.970220491320626,0.0,2.26525492928,8.011971930343975e-08,1.13262746464,00:00,0,1900-01-01 00:00:00
24,3,1.0,0,0,0.043,1.0448375717028406,-11.110268694769195,0.0,6.15866183898,4.27009231529496e-07,4.742877508179999,00:00,0,1900-01-01 00:00:00
25,3,1.0,0,0,0.0,1.0383757108833773,-10.740909645532055,0.0,0.0,1.3006373609471484e-07,0.0,00:00,0,1900-01-01 00:00:00
26,3,1.0,0,0,0.0,1.026191734362249,-11.024436910395924,0.0,2.4776225789,4.465736980208135e-08,1.6281519804199993,00:00,0,1900-01-01 00:00:00
27,3,1.0,0,0,0.0,1.040213855205125,-10.338544126698858,0.0,0.0,-1.1395370149085173e-08,0.0,00:00,0,1900-01-01 00:00:00
